
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
  1779 +2.6630e+01 +0.0000e+00 +0.0000e+00 
  1780 +2.8236e+01 +0.0000e+00 +0.0000e+00 
  1781 +2.7730e+01 +0.0000e+00 +0.0000e+00 
  1782 +2.4626e+01 +0.0000e+00 +0.0000e+00 
  1783 +2.4785e+01 +0.0000e+00 +0.0000e+00 
  1784 +1.9132e+01 +0.0000e+00 +0.0000e+00 
  1785 +2.0868e+01 +0.0000e+00 +0.0000e+00 
  1786 +1.9690e+01 +0.0000e+00 +0.0000e+00 
  1787 +1.5989e+01 +0.0000e+00 +0.0000e+00 
  1788 +1.4340e+01 +0.0000e+00 +0.0000e+00 
  1789 +1.4153e+01 +0.0000e+00 +0.0000e+00 
  1790 +1.1684e+01 +0.0000e+00 +0.0000e+00 
  1791 +1.2547e+01 +0.0000e+00 +0.0000e+00 
  1792 +1.3093e+01 +0.0000e+00 +0.0000e+00 
  1793 +1.1210e+01 +0.0000e+00 +0.0000e+00 
  1794 +1.0345e+01 +0.0000e+00 +0.0000e+00 
  1795 +8.5293e+00 +0.0000e+00 +0.0000e+00 
  1796 +8.5434e+00 +0.0000e+00 +0.0000e+00 
  1797 +1.0406e+01 +0.0000e+00 +0.0000e+00 
  1798 +9.3928e+00 +0.0000e+00 +0.0000e+00 
  1799 +1.0636e+01 +0.0000e+00 +0.0000e+00 
  1800 +1.1158e+01 +0.0000e+00 +0.0000e+00 
  1801 +9.6401e+00 +0.0000e+00 +0.0000e+00 
  1802 +9.9388e+00 +0.0000e+00 +0.0000e+00 
  1803 +1.1894e+01 +0.0000e+00 +0.0000e+00 
  1804 +1.2226e+01 +0.0000e+00 +0.0000e+00 
  1805 +9.3598e+00 +0.0000e+00 +0.0000e+00 
  1806 +9.6093e+00 +0.0000e+00 +0.0000e+00 
  1807 +9.1054e+00 +0.0000e+00 +0.0000e+00 
  1808 +7.2839e+00 +0.0000e+00 +0.0000e+00 
  1809 +7.8536e+00 +0.0000e+00 +0.0000e+00 
  1810 +6.0557e+00 +0.0000e+00 +0.0000e+00 
  1811 +7.5914e+00 +0.0000e+00 +0.0000e+00 
  1812 +5.2095e+00 +0.0000e+00 +0.0000e+00 
  1813 +4.4055e+00 +0.0000e+00 +0.0000e+00 
  1814 +3.4549e+00 +0.0000e+00 +0.0000e+00 
  1815 +1.8150e+00 +0.0000e+00 +0.0000e+00 
  1816 +1.9766e+00 +0.0000e+00 +0.0000e+00 
  1817 +3.6763e-01 +0.0000e+00 +0.0000e+00 
  1818 +5.8160e-01 +0.0000e+00 +0.0000e+00 
  1819 -2.3097e+00 +0.0000e+00 +0.0000e+00 
  1820 -2.1188e+00 +0.0000e+00 +0.0000e+00 
  1821 -4.6997e+00 +0.0000e+00 +0.0000e+00 
  1822 -3.9486e+00 +0.0000e+00 +0.0000e+00 
  1823 -3.1810e+00 +0.0000e+00 +0.0000e+00 
  1824 -2.0287e+00 +0.0000e+00 +0.0000e+00 
  1825 -5.1815e-01 +0.0000e+00 +0.0000e+00 
  1826 +1.3543e+00 +0.0000e+00 +0.0000e+00 
  1827 +4.3082e+00 +0.0000e+00 +0.0000e+00 
  1828 +6.3536e+00 +0.0000e+00 +0.0000e+00 
  1829 +8.1177e+00 +0.0000e+00 +0.0000e+00 
  1830 +1.0617e+01 +0.0000e+00 +0.0000e+00 
  1831 +1.0524e+01 +0.0000e+00 +0.0000e+00 
  1832 +1.0471e+01 +0.0000e+00 +0.0000e+00 
  1833 +1.2127e+01 +0.0000e+00 +0.0000e+00 
  1834 +1.0172e+01 +0.0000e+00 +0.0000e+00 
  1835 +9.2626e+00 +0.0000e+00 +0.0000e+00 
  1836 +8.6087e+00 +0.0000e+00 +0.0000e+00 
  1837 +9.9528e+00 +0.0000e+00 +0.0000e+00 
  1838 +4.9944e+00 +0.0000e+00 +0.0000e+00 
  1839 +4.5679e+00 +0.0000e+00 +0.0000e+00 
  1840 +3.1443e+00 +0.0000e+00 +0.0000e+00 
  1841 +9.1550e-01 +0.0000e+00 +0.0000e+00 
  1842 -4.0293e+00 +0.0000e+00 +0.0000e+00 
  1843 -7.6209e+00 +0.0000e+00 +0.0000e+00 
  1844 -9.2527e+00 +0.0000e+00 +0.0000e+00 
  1845 -1.3354e+01 +0.0000e+00 +0.0000e+00 
  1846 -9.6699e+00 +0.0000e+00 +0.0000e+00 
  1847 -1.0548e+01 +0.0000e+00 +0.0000e+00 
  1848 -1.3067e+01 +0.0000e+00 +0.0000e+00 
  1849 -1.4651e+01 +0.0000e+00 +0.0000e+00 
  1850 -1.3796e+01 +0.0000e+00 +0.0000e+00 
  1851 -1.2217e+01 +0.0000e+00 +0.0000e+00 
  1852 -9.4478e+00 +0.0000e+00 +0.0000e+00 
  1853 -1.0861e+01 +0.0000e+00 +0.0000e+00 
  1854 -8.9527e+00 +0.0000e+00 +0.0000e+00 
  1855 -8.4042e+00 +0.0000e+00 +0.0000e+00 
  1856 -8.6829e+00 +0.0000e+00 +0.0000e+00 
  1857 -8.6891e+00 +0.0000e+00 +0.0000e+00 
  1858 -8.3387e+00 +0.0000e+00 +0.0000e+00 
  1859 -7.7070e+00 +0.0000e+00 +0.0000e+00 
  1860 -8.3973e+00 +0.0000e+00 +0.0000e+00 
  1861 -6.2526e+00 +0.0000e+00 +0.0000e+00 
  1862 -4.9584e+00 +0.0000e+00 +0.0000e+00 
  1863 -6.7336e+00 +0.0000e+00 +0.0000e+00 
  1864 -6.8460e+00 +0.0000e+00 +0.0000e+00 
